Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4l0Mvzj72xxOpRrp6h8nHi,"Lose You To Love Me","Rare","Selena Gomez",2020-01-10,206458,81,false,teage03,2021-01-03T17:30:11Z,"","Interscope Records",0.516,0.342,4,-8.985,1,0.0425,0.55,0,0.21,0.0993,102.819,4
spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,"If the World Was Ending (feat. Julia Michaels)","If the World Was Ending (feat. Julia Michaels)","JP Saxe,Julia Michaels",2019-10-17,208687,77,false,teage03,2021-01-03T17:14:41Z,"","Arista Records",0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,4
spotify:track:4yJiXq86uM56uIfIZgE440,"me & ur ghost","me & ur ghost","blackbear",2020-01-16,200400,0,true,teage03,2021-01-03T17:14:41Z,"","Beartrap/ Alamo/ Interscope Records",0.755,0.631,7,-6.128,1,0.0261,0.0638,0,0.0929,0.881,100.026,4
spotify:track:6yHVyMdC08djbP86mdkP3G,"In My Bones","In My Bones","Ray Dalton",2020-01-17,189930,57,false,teage03,2021-01-03T17:14:41Z,"","Epic Local",0.636,0.699,5,-4.432,0,0.0396,0.302,0,0.263,0.709,96.962,4
spotify:track:5CqkgDH8QZjSqqI3HmYxDD,"Airwaves","Airwaves","Pashanim",2020-05-14,178932,73,false,teage03,2021-01-03T17:35:01Z,"german hip hop","Urban",0.885,0.578,5,-7.416,0,0.0783,0.0739,0.0903,0.102,0.388,131.999,4
spotify:track:6NMA5MsBDOqwQuVT3IbwNj,"Drei Uhr Nachts","MUSKETIERE","Mark Forster,LEA",2021-08-13,160587,48,false,teage03,2021-08-24T07:37:19Z,"german pop,german hip hop","Four Music Local",0.649,0.747,8,-4.984,1,0.131,0.0526,0.00000556,0.287,0.679,164.807,4
spotify:track:5T490vvoFNU6psep0NPmxs,"Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","Jawsh 685,Jason Derulo",2020-06-09,171374,65,false,teage03,2021-01-03T17:14:41Z,"","Columbia",0.795,0.48,3,-8.556,1,0.0688,0.243,0,0.271,0.723,149.919,4
spotify:track:0rqY8g1Y1zaA4YwU6vhBQg,"Boot","Boot","Apache 207",2020-06-05,193017,55,false,teage03,2021-01-03T17:14:41Z,"german hip hop","Four Music Local",0.534,0.565,1,-7.536,0,0.295,0.0665,0.0035,0.111,0.496,194.032,4
spotify:track:5902W4uHWzhtOff1UK7the,"When I’m Gone (with Katy Perry)","When I’m Gone (with Katy Perry)","Alesso,Katy Perry",2021-12-29,161266,70,false,teage03,2022-08-08T19:10:27Z,"edm,pop","10:22PM/Astralwerks",0.685,0.886,0,-4.179,1,0.034,0.028,0,0.481,0.615,125.034,4
spotify:track:6hAY8vanBaZFGqWiOrxQaT,"Let Me Down Slowly","Let Me Down Slowly","MOKABY,Noise Affairs,Ivan Jamile,Amero,Kédo Rebelle",2023-09-08,193125,24,false,teage03,2023-09-08T13:35:39Z,"slap house,hypertechno","My.Cover.Music",0.641,0.806,1,-6.346,0,0.0484,0.0171,0.00000413,0.271,0.492,127.966,4
spotify:track:33vZRjxJScapmRShRJq8I0,"NIGHTS LIKE THESE","Walk Me Home...","Benson Boone",2022-07-29,172514,84,false,teage03,2025-04-20T05:29:50Z,"","Warner Records",0.667,0.593,7,-6.016,0,0.0432,0.369,0,0.112,0.458,95.947,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,85,true,teage03,2025-05-04T19:49:42Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
